LFQ intensity BvO325_ccpa_MG1363_1	LFQ intensity BvO326_ccpa_MG1363_2	LFQ intensity BvO327_ccpa_MG1363_3	LFQ intensity BvO328_ccpa_MG1363_4	LFQ intensity BvO329_wt_MG1363_1	LFQ intensity BvO330_wt_MG1363_2	LFQ intensity BvO331_wt_MG1363_3	LFQ intensity BvO332_wt_MG1363_4	Only identified by site	Reverse	Potential contaminant	FilteredRows	Protein names	Gene names	Gene names  (primary )	Gene names  (ordered locus )	Intramembrane	Transmembrane	Student's T-test Significant ccpa mutant_wt	Student's T-test significant	Length	EC number	Gene names  (primary )_	Gene names  (ordered locus )_	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Intramembrane_	Subcellular location [CC]	Topological domain	Transmembrane_	Cross-reference (PRIDE)	Cross-reference (KEGG)	Cross-reference (BRENDA)	Cross-reference (eggNOG)	Cross-reference (KO)	COGcatcombined	id	Number of proteins	Peptides	Unique peptides	Sequence coverage    	Mol  weight  kDa 	Sequence length	Q value	Score	Intensity	iBAQ	iBAQ BvO325_ccpa_MG1363_1	iBAQ BvO326_ccpa_MG1363_2	iBAQ BvO327_ccpa_MG1363_3	iBAQ BvO328_ccpa_MG1363_4	iBAQ BvO329_wt_MG1363_1	iBAQ BvO330_wt_MG1363_2	iBAQ BvO331_wt_MG1363_3	iBAQ BvO332_wt_MG1363_4	-Log Student's T-test p-value ccpa mutant_wt	Student's T-test q-value ccpa mutant_wt	Student's T-test Difference ccpa mutant_wt	Student's T-test Test statistic ccpa mutant_wt	Sequence length_	Average molecular mass	Number of theoretical peptides (trypsin/P, 7-30)	Protein IDs	Majority protein IDs	Fasta headers	Gene name	Protein name
#!{Type}E	E	E	E	E	E	E	E	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
#!{C:Group1}ccpa mutant	ccpa mutant	ccpa mutant	ccpa mutant	wt	wt	wt	wt																																																													
7.10085296630859	7.24870872497559	7.14429378509521	7.12968969345093	7.30323934555054	7.25556182861328	7.28990077972412	7.30323934555054																															2	1	9	9	27.5	51.316	454	0	96.536	96685000	3580900	503550	469990	453810	328480	411060	449770	567280	396980	2.08243332072005	0.264639498432602	-0.132099032402039	-0.127738180903135	454	51316.8790799999	27	A2RH74	A2RH74	sw|A2RH74|DNAA_LACLM Chromosomal replication initiator protein DnaA OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=dnaA PE=3 SV=1	dnaA	Chromosomal replication initiator protein DnaA
6.71917390823364	6.74067831039429	6.78864192962646	6.8233437538147	6.82106113433838	6.78719806671143	6.7553334236145	6.92593574523926					ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddA)	addA rexA llmg_0004	addA	llmg_0004	0	0			1203	3.1.-.-;3.6.4.12	addA	llmg_0004	138,945	double-strand break repair [GO:0006302]	ATP binding [GO:0005524];ATP-dependent DNA helicase activity [GO:0004003];DNA binding [GO:0003677];exonuclease activity [GO:0004527]		0	0	0	0	0	llm:llmg_0004	0	COG1074;ENOG4107R2I	K16898	L	4	1	6	6	5.8	138.94	1203	0	51.867	36368000	491460	73609	65513	68963	58480	42696	50434	82229	49539	0.583483762076464	0.511242174629325	-0.0544226169586182	-0.0521362373986605	1203	138945.496780001	74	A2RH77	A2RH77	sw|A2RH77|ADDA_LACLM ATP-dependent helicase/nuclease subunit A OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=addA PE=1 SV=1	addA	ATP-dependent helicase/nuclease subunit A
8.33607959747314	8.33189296722412	8.33817768096924	8.37763404846191	8.35715293884277	8.41195583343506	8.30541610717773	8.27216625213623					Ribosome-binding ATPase YchF	ychF llmg_0007	ychF	llmg_0007	0	0			371		ychF	llmg_0007	41,242		ATP binding [GO:0005524];ATPase activity [GO:0016887];GTP binding [GO:0005525];ribosomal large subunit binding [GO:0043023];ribosome binding [GO:0043022]		0	0	0	0	0	llm:llmg_0007	0	COG0012;ENOG4105C3G	K06942	J	5	1	21	21	53.9	41.241	371	0	115.19	1321100000	62909000	10535000	7618300	8036300	7450500	6227100	8327900	9681700	5032400	0.10555396202355	0.912046948356808	0.00927329063415527	0.00898240805177244	371	41241.89178	21	A2RH80	A2RH80	tr|A2RH80|A2RH80_LACLM Ribosome-binding ATPase YchF OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=ychF PE=3 SV=1	ychF	Ribosome-binding ATPase YchF
6.60785150527954	6.4954195022583	6.38399457931519	6.56883525848389	6.69289064407349	6.35147190093994	6.39392614364624	6.67344856262207					Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth llmg_0012	pth	llmg_0012	0	0			188	3.1.1.29	pth	llmg_0012	20,963		aminoacyl-tRNA hydrolase activity [GO:0004045]	cytoplasm [GO:0005737]	0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00083}.	0	0	0	llm:llmg_0012	0	COG0193;ENOG4108ZPD	K01056	J	7	1	5	5	36.2	20.963	188	0	12.636	19037000	1586400	315730	212990	157770	179990	219450	261200	187040	52196	0.0473584696760559	0.880636695018226	-0.0139091014862061	-0.0126137867152507	188	20963.15308	12	A2RH85	A2RH85	sw|A2RH85|PTH_LACLM Peptidyl-tRNA hydrolase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=pth PE=3 SV=1	pth	Peptidyl-tRNA hydrolase
6.63816976547241	6.88871288299561	6.7448091506958	6.7226505279541	7.00509452819824	6.90873146057129	6.65474414825439	6.8839225769043					Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd llmg_0013	mfd	llmg_0013	0	0			1180	3.6.4.-	mfd	llmg_0013	135,511	regulation of transcription, DNA-templated [GO:0006355];transcription-coupled nucleotide-excision repair, DNA damage recognition [GO:0000716]	ATP binding [GO:0005524];damaged DNA binding [GO:0003684];hydrolase activity [GO:0016787]	cytoplasm [GO:0005737]	0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00969}.	0	0	0	llm:llmg_0013	0	COG1197;ENOG4108JA2	K03723	L	8	1	6	6	6.3	135.51	1180	0	10.559	37717000	598680	85130	89672	79897	62034	71645	69212	73502	67588	0.596419199254652	0.290902564102564	-0.114537596702576	-0.105017935810577	1180	135511.065780001	63	A2RH86	A2RH86	tr|A2RH86|A2RH86_LACLM Transcription-repair-coupling factor OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=mfd PE=3 SV=1	mfd	Transcription-repair-coupling factor
8.37957763671875	8.3367395401001	8.39424133300781	8.23694038391113	8.33551788330078	8.29067993164063	8.52583503723145	8.4912633895874					Hpt protein (EC 2.4.2.8)	hpt llmg_0020	hpt	llmg_0020	0	0			183	2.4.2.8	hpt	llmg_0020	20,607	purine ribonucleoside salvage [GO:0006166]	guanine phosphoribosyltransferase activity [GO:0052657];hypoxanthine phosphoribosyltransferase activity [GO:0004422]	cytoplasm [GO:0005737]	0	0	0	0	0	llm:llmg_0020	0	COG0634;ENOG4108UGV	K00760	F	12	1	12	12	61.2	20.607	183	0	36.96	1308700000	130870000	11804000	8654600	9067100	6888400	27584000	24184000	20826000	21857000	0.500006774051187	0.412994263862333	-0.0739493370056152	-0.069264181299767	183	20606.79608	10	A2RH92	A2RH92	tr|A2RH92|A2RH92_LACLM Hpt protein OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=hpt PE=4 SV=1	hpt	Hpt protein
8.5025634765625	8.46799278259277	8.52387619018555	8.54598712921143	8.62184047698975	8.57327747344971	8.54066753387451	8.74149036407471					ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH llmg_0021	ftsH	llmg_0021	0	TRANSMEM 12 34 Helical. {ECO:0000256|HAMAP-Rule:MF_01458}.;TRANSMEM 136 156 Helical. {ECO:0000256|HAMAP-Rule:MF_01458}.			695	3.4.24.-	ftsH	llmg_0021	75,511	cell division [GO:0051301];protein catabolic process [GO:0030163]	ATP binding [GO:0005524];ATPase activity [GO:0016887];metalloendopeptidase activity [GO:0004222];zinc ion binding [GO:0008270]	integral component of membrane [GO:0016021];plasma membrane [GO:0005886]	0	Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_01458}.;Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01458};SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_01458}	0	TRANSMEM 12 34 Helical. {ECO:0000256|HAMAP-Rule:MF_01458}.;TRANSMEM 136 156 Helical. {ECO:0000256|HAMAP-Rule:MF_01458}.	0	llm:llmg_0021	0	COG0465;ENOG4105C3H	K03798	O	13	1	27	27	46.2	75.51	695	0	206.67	2206100000	64885000	10030000	7123500	8027600	7023600	7244000	7881500	10844000	6710100	1.2270799854806	0.292193384223919	-0.109214067459106	-0.104308113943122	695	75510.75568	34	A2RH93	A2RH93	tr|A2RH93|A2RH93_LACLM ATP-dependent zinc metalloprotease FtsH OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=ftsH PE=3 SV=1	ftsH	ATP-dependent zinc metalloprotease FtsH
7.58485126495361	7.45215463638306	7.54002904891968	7.37579154968262	7.71475696563721	7.6684045791626	7.69253826141357	7.86018228530884					PTS system, mannitol-specific IIBC component (EC 2.7.1.69)	mtlA llmg_0022	mtlA	llmg_0022	0	TRANSMEM 108 125 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 146 171 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 21 40 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 227 248 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 329 354 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 52 69 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 81 102 Helical. {ECO:0000256|SAM:Phobius}.			607	2.7.1.69	mtlA	llmg_0022	64,139	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	D-glucosamine PTS permease activity [GO:0103111];protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]	integral component of membrane [GO:0016021];plasma membrane [GO:0005886]	0	0	0	TRANSMEM 108 125 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 146 171 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 21 40 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 227 248 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 329 354 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 52 69 Helical. {ECO:0000256|SAM:Phobius}.;TRANSMEM 81 102 Helical. {ECO:0000256|SAM:Phobius}.	0	llm:llmg_0022	0	COG2213	K02799;K02800	G	14	1	7	7	14.2	64.138	607	0	91.617	248520000	10355000	1824400	969430	1133600	600800	1082200	1300900	1929200	1514400	2.08508331446504	0.158096551724138	-0.245763897895813	-0.231105432703097	607	64138.8966799999	24	A2RH94	A2RH94	tr|A2RH94|A2RH94_LACLM PTS system, mannitol-specific IIBC component OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=mtlA PE=4 SV=1	mtlA	PTS system, mannitol-specific IIBC component
